source,source_id,url,published,company,title,seniority_tier,location,text_sha256,communication,collaboration,stakeholder_alignment,mentoring,leadership_influence,feedback_review,learning_adaptability,conflict_negotiation,empathy_listening,any_socioemotional,two_or_more,competency_count,core_competency_count
Arbeitnow,senior-backend-engineer-all-genders-golang-berlin-211662,https://www.arbeitnow.com/jobs/companies/urban-sports-club/senior-backend-engineer-all-genders-golang-berlin-211662,2026-07-15,Urban Sports Club,Senior Backend Engineer (all genders) - Golang,Senior,"Berlin, Germany",3d6d5d23ad17220ee0e2335e5fcb70dedf82680bb64e35445771292ae6b53c45,1,1,1,1,0,0,1,0,0,1,1,5,5
Arbeitnow,softwareentwicklerin-senior-munich-449458,https://www.arbeitnow.com/jobs/companies/doppelernte-gmbh/softwareentwicklerin-senior-munich-449458,2026-07-15,DoppelErnte GmbH,Softwareentwickler:in Senior,Senior,Munich,688e07f251fb1fe4510796cd708dd25ff1d6d87a5ee637560a24c4272daa4b93,0,1,0,0,1,0,0,0,0,1,1,2,2
Arbeitnow,senior-softwareentwickler-75000-eur-95000-eur-jahresgehalt-zwickau-34673,https://www.arbeitnow.com/jobs/companies/ines-scholz-steuerberatungsgesellschaft/senior-softwareentwickler-75000-eur-95000-eur-jahresgehalt-zwickau-34673,2026-07-15,Ines Scholz Steuerberatungsgesellschaft,(Senior) Softwareentwickler (m/w/d) | 75.000 € - 95.000 € Jahresgehalt,Senior,Zwickau,c4d9ad65381fd907f4f00bf67a442a212d27a498108698e041bbf760e7804c10,0,1,0,0,1,0,0,0,0,1,1,2,2
Arbeitnow,senior-frontend-entwickler-75000-eur-95000-eur-jahresgehalt-zwickau-8305,https://www.arbeitnow.com/jobs/companies/ines-scholz-steuerberatungsgesellschaft/senior-frontend-entwickler-75000-eur-95000-eur-jahresgehalt-zwickau-8305,2026-07-15,Ines Scholz Steuerberatungsgesellschaft,(Senior) Frontend Entwickler (m/w/d) | 75.000 € - 95.000 € Jahresgehalt,Senior,Zwickau,392cdf4b8b744aaaa023a6330e4d4be00f411ad3923dc9bb1bac725d92f23e99,0,1,0,0,1,0,0,0,0,1,1,2,2
Arbeitnow,senior-software-developer-dortmund-remote-69872,https://www.arbeitnow.com/jobs/companies/jobportal/senior-software-developer-dortmund-remote-69872,2026-07-15,Jobportal,Senior Software Developer (m/w/d) · Dortmund & Remote,Senior,Dortmund,69cfc81ab130f57b4bade5b50b5df51035952c61a51d9f096aedf6b810fec6db,0,0,0,0,0,0,0,0,0,0,0,0,0
The Muse,21132704,https://www.themuse.com/jobs/uber/sr-software-engineer-frontend-web-8fc2b7,2026-07-15,Uber,"Sr Software Engineer, Frontend (Web)",Senior,"Rio de Janeiro, Brazil; São Paulo, Brazil",0c0c455aad150df3a33087f9201e87e36bbfabe63c9214c4a00d488a59f07cd4,1,1,0,1,1,0,0,0,0,1,1,4,4
Remotive,2069746,https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746,2026-07-14,Mitre Media,Tech Lead Full-Stack Rails Engineer,Lead,"USA, Canada, USA timezones",16bd1eb327ffec6a183df335547ffe5af74c01fd679c920305357ceba16491cb,0,1,0,0,0,0,0,0,0,1,0,1,1
Himalayas,https://himalayas.app/companies/defuse-labs/jobs/senior-software-engineer-solvers,https://himalayas.app/companies/defuse-labs/jobs/senior-software-engineer-solvers,2026-07-14,Defuse Labs,Senior Software Engineer (Solvers),Senior,Remote,66bb034bf2b678ae71e91d9d4233d2d7cfa48718c1a7d2e5c1f045f8bb690da4,0,1,0,0,1,0,0,0,0,1,1,2,2
Arbeitnow,senior-full-stack-engineer-python-berlin-464084,https://www.arbeitnow.com/jobs/companies/flix/senior-full-stack-engineer-python-berlin-464084,2026-07-14,Flix,Senior Full Stack Engineer- Python (m/f/d),Senior,"Berlin, Berlin, Germany",330e545104c17bcc98e7a46461cfb62dd6f4cc8533d7089f12570e541cd43a47,0,0,0,1,1,0,0,0,0,1,1,2,2
Himalayas,https://himalayas.app/companies/coupa-software-inc/jobs/lead-software-engineer-11492,https://himalayas.app/companies/coupa-software-inc/jobs/lead-software-engineer-11492,2026-07-14,"Coupa Software, Inc.",Lead Software Engineer - 11492,Lead,Mexico,7c685668a10d1497caf24c3389398a36669b711bfba6318b31dddd7bf2575ea5,1,1,0,0,0,1,0,0,0,1,1,3,2
